prod-descr;prod-marca;prod-comentario;prod-aval
 Bioderma  Photoderm Cover Touch FPS 50+ 2.0 - Protetor Solar Facial 40ml ; Bioderma ;Recomendo, efeito base sinto segura oleosidade, final dia parece pele, acneica, melhora! comprem!!! gosta boa cobertura, apennaaas compra;4.1
 Bioderma  Photoderm Cover Touch FPS 50+ 2.0 - Protetor Solar Facial 40ml ; Bioderma ;jom. Cobertura incrivel;4.1
 Bioderma  Photoderm Cover Touch Mineral FPS50+ 1.0 - Protetor Solar Facial com Cor 40g ; Bioderma ;Cobertura impecável!;4.1
 Bioderma  Photoderm Cover Touch Mineral FPS50+ 1.0 - Protetor Solar Facial com Cor 40g ; Bioderma ;único uso! Nota 1.000;4.1
 Bioderma  Photoderm Cover Touch Mineral FPS50+ 1.0 - Protetor Solar Facial com Cor 40g ; Bioderma ;jom. Cobertura incrivel;4.1
 Bioderma  Photoderm Cover Touch Mineral FPS50+ 1.0 - Protetor Solar Facial com Cor 40g ; Bioderma ;Recomendo, efeito base sinto segura oleosidade, final dia parece pele, acneica, melhora! comprem!!! gosta boa cobertura, apennaaas compra;4.1
 Bioderma  Photoderm M Foncee FPS50+ 2.0 - Protetor Solar Facial com Cor 40ml ; Bioderma ;Parabens loja, comprei dia 07 chegou dia 10. pretetor solar maravilhoso, fico sem.;3.9
 Bioderma  Photoderm M Foncee FPS50+ 2.0 - Protetor Solar Facial com Cor 40ml ; Bioderma ;Produto MARAVILHOSO!!!! Cumpre promete! melasma, pele mista. ter secagem rápida, precisa aplicado pequenas partes espalhar. transfere, suor excessivo derrete, esfregar sai (óbvio).?? Comprei 2 promoção vou comprar p estocar. ficarei ?;3.9
 Bioderma  Photoderm M Foncee FPS50+ 2.0 - Protetor Solar Facial com Cor 40ml ; Bioderma ;Protetor excelente, cor ficou ótima. Entrega rápida tudo certo..;3.9
 Bioderma  Photoderm M Foncee FPS50+ 2.0 - Protetor Solar Facial com Cor 40ml ; Bioderma ;Grosso. Super difícil espalhar. fica uniforme;3.9
 Bioderma  Photoderm M Foncee FPS50+ 2.0 - Protetor Solar Facial com Cor 40ml ; Bioderma ;Pessimo ! Nossa, paguei caro experiência terrível, esfarelou passar, manchou, ficou amarelado. comprei base baraterrrima acabamento ficou melhor (sei protetor, acabamento pessimo). Rasguei dinheiro. Decepcionante.;3.9
 Bioderma  Photoderm M Foncee FPS50+ 3.0 - Protetor Solar Facial com Cor 40ml ; Bioderma ;Pessimo ! Nossa, paguei caro experiência terrível, esfarelou passar, manchou, ficou amarelado. comprei base baraterrrima acabamento ficou melhor (sei protetor, acabamento pessimo). Rasguei dinheiro. Decepcionante.;3.9
 Bioderma  Photoderm M Foncee FPS50+ 3.0 - Protetor Solar Facial com Cor 40ml ; Bioderma ;Grosso. Super difícil espalhar. fica uniforme;3.9
 Bioderma  Photoderm M Foncee FPS50+ 3.0 - Protetor Solar Facial com Cor 40ml ; Bioderma ;Protetor excelente, cor ficou ótima. Entrega rápida tudo certo..;3.9
 Bioderma  Photoderm M Foncee FPS50+ 3.0 - Protetor Solar Facial com Cor 40ml ; Bioderma ;Parabens loja, comprei dia 07 chegou dia 10. pretetor solar maravilhoso, fico sem.;3.9
 Bioderma  Photoderm M Foncee FPS50+ 3.0 - Protetor Solar Facial com Cor 40ml ; Bioderma ;Produto MARAVILHOSO!!!! Cumpre promete! melasma, pele mista. ter secagem rápida, precisa aplicado pequenas partes espalhar. transfere, suor excessivo derrete, esfregar sai (óbvio).?? Comprei 2 promoção vou comprar p estocar. ficarei ?;3.9
 Bioderma  Photoderm M Foncee FPS50+ 4.0 - Protetor Solar Facial com Cor 40ml ; Bioderma ;Parabens loja, comprei dia 07 chegou dia 10. pretetor solar maravilhoso, fico sem.;3.9
 Bioderma  Photoderm M Foncee FPS50+ 4.0 - Protetor Solar Facial com Cor 40ml ; Bioderma ;Pessimo ! Nossa, paguei caro experiência terrível, esfarelou passar, manchou, ficou amarelado. comprei base baraterrrima acabamento ficou melhor (sei protetor, acabamento pessimo). Rasguei dinheiro. Decepcionante.;3.9
 Bioderma  Photoderm M Foncee FPS50+ 4.0 - Protetor Solar Facial com Cor 40ml ; Bioderma ;Protetor excelente, cor ficou ótima. Entrega rápida tudo certo..;3.9
 Bioderma  Photoderm M Foncee FPS50+ 4.0 - Protetor Solar Facial com Cor 40ml ; Bioderma ;Produto MARAVILHOSO!!!! Cumpre promete! melasma, pele mista. ter secagem rápida, precisa aplicado pequenas partes espalhar. transfere, suor excessivo derrete, esfregar sai (óbvio).?? Comprei 2 promoção vou comprar p estocar. ficarei ?;3.9
 Bioderma  Photoderm M Foncee FPS50+ 4.0 - Protetor Solar Facial com Cor 40ml ; Bioderma ;Grosso. Super difícil espalhar. fica uniforme;3.9
 Bioderma  Photoderm Nude Touch FPS 50+ 1.0 - Protetor Solar Facial com Cor 40ml ; Bioderma ;Péssimo! protetor caro usei vida pior! Parece graxa pra tirar (passo água micelar 2x sabonete liquido assim fica resto). Tranfere demais! Mancha tudo....roupa, toalha, celular! cor clara alaranjada! Baixa cobertura! pior, forma uns cristais entope apertar pra sair bico soltou perdi metade produto!!;4.3
 Bioderma  Photoderm Nude Touch FPS 50+ 1.0 - Protetor Solar Facial com Cor 40ml ; Bioderma ;produto muuito bom. indicado dermatologista gostei textura cobertura pele, madura (57 anos);4.3
 Bioderma  Photoderm Nude Touch FPS 50+ 1.0 - Protetor Solar Facial com Cor 40ml ; Bioderma ;bom. Toque seco, nao deixa pele nada oleosa, dou preferência usar dias quentes.;4.3
 Bioderma  Photoderm Nude Touch FPS 50+ 1.0 - Protetor Solar Facial com Cor 40ml ; Bioderma ;Pró: boa cobertura. Contras: cor clara assim ainda escura pele. tipo tinta (um óleo mineral cor) pele absorve transfere muito. Caiu olho choro certo. adaptei tipo protetor solar. terminei usar.;4.3
 Bioderma  Photoderm Nude Touch FPS 50+ 1.0 - Protetor Solar Facial com Cor 40ml ; Bioderma ;Produto excelente, fica melhor seguindo seguintes recomendações... Usar hidratante comum antes ara deixe pele seca, usar pó selar assim transferir menos, usar cleansing oil seguido sabonete facial perfeita remoção;4.3
 Bioderma  Photoderm Nude Touch FPS 50+ 2.0 - Protetor Solar Facial com Cor 40ml ; Bioderma ;Produto excelente, fica melhor seguindo seguintes recomendações... Usar hidratante comum antes ara deixe pele seca, usar pó selar assim transferir menos, usar cleansing oil seguido sabonete facial perfeita remoção;4.4
 Bioderma  Photoderm Nude Touch FPS 50+ 2.0 - Protetor Solar Facial com Cor 40ml ; Bioderma ;Bem líquido, bom espalhar, acumular, baixa cobertura;4.4
 Bioderma  Photoderm Nude Touch FPS 50+ 2.0 - Protetor Solar Facial com Cor 40ml ; Bioderma ;compraria novamente! gostei, demora secar, seca pele. Péssimo!;4.4
 Bioderma  Photoderm Nude Touch FPS 50+ 2.0 - Protetor Solar Facial com Cor 40ml ; Bioderma ;produto muuito bom. indicado dermatologista gostei textura cobertura pele, madura (57 anos);4.4
 Bioderma  Photoderm Nude Touch FPS 50+ 2.0 - Protetor Solar Facial com Cor 40ml ; Bioderma ;Péssimo! protetor caro usei vida pior! Parece graxa pra tirar (passo água micelar 2x sabonete liquido assim fica resto). Tranfere demais! Mancha tudo....roupa, toalha, celular! cor clara alaranjada! Baixa cobertura! pior, forma uns cristais entope apertar pra sair bico soltou perdi metade produto!!;4.4
 Bioderma  Photoderm Nude Touch FPS 50+ 2.0 - Protetor Solar Facial com Cor 40ml ; Bioderma ;bom. Toque seco, nao deixa pele nada oleosa, dou preferência usar dias quentes.;4.4
 Bioré  Aqua Rich Watery Essence FPS 50 - Protetor Solar Facial e Corporal 70g ; Bioré ;melhor protetor! deixa pele super hidratada, textura super fluída aplicar arde olhos fica camada branca sobre pele, parece creme textura gel. Além disso reter bastante hidratação rosto deixa pele dia todo aspecto saudável.;4.7
 Bioré  Aqua Rich Watery Essence FPS 50 - Protetor Solar Facial e Corporal 70g ; Bioré ;Gostei muito, bem sequinho após secar fica oleoso.;4.7
 Bioré  Aqua Rich Watery Essence FPS 50 - Protetor Solar Facial e Corporal 70g ; Bioré ;"bem aguadinho, nao gruda, nao mela, esbranquiça, pontos positivos. durabilidade, dá impressão gasta fato consistência aer suave e, portanto, acaba rapidinho! Vou usar tempo verificar efetividade. amei nao ter ""cheiro"" irritar pele alérgica!";4.7
 Bioré  Aqua Rich Watery Essence FPS 50 - Protetor Solar Facial e Corporal 70g ; Bioré ;produto excelente.;4.6
 Bioré  Aqua Rich Watery Essence FPS 50 - Protetor Solar Facial e Corporal 70g ; Bioré ;testei vários protetores marcas “famosas” nenhum deu tao bem pele esse! pesa, fica sensação produto grudento, nao irrita! Excelente!!!;4.7
 Bioré  Aqua Rich Watery Essence FPS 50 - Protetor Solar Facial e Corporal 70g ; Bioré ;textura ótima, cor textura super leve, pele fica hidratada natural.;4.7
 Bioré  Aqua Rich Watery Essence FPS 50 - Protetor Solar Facial e Corporal 70g ; Bioré ;Melhor protetor solar mundo. arde olhos, espalha bem, esfarela, completamente transparente.;4.7
 Bioré  Aqua Rich Watery Essence FPS 50 - Protetor Solar Facial e Corporal 70g ; Bioré ;Pra faz uso ácidos pele sensível protetor perfeito! refrescante, fica confortável pele, protetor efeito matte, ainda assim fica bem sequinho irritar ter efeito “acqua”. Amei vou recomprar vezes.;4.6
 Bioré  Aqua Rich Watery Essence FPS 50 - Protetor Solar Facial e Corporal 70g ; Bioré ;bom espalha fácil;4.7
 Bioré  Aqua Rich Watery Essence FPS 50 - Protetor Solar Facial e Corporal 70g ; Bioré ;Fácil aplicar.;4.6
 Bioré  Aqua Rich Watery Essence FPS 50 - Protetor Solar Facial e Corporal 70g ; Bioré ;Adorei deixa pele bem sequinha ,produto suave,bem esperava.;4.6
 Bioré  Aqua Rich Watery Essence FPS 50 - Protetor Solar Facial e Corporal 70g ; Bioré ;bom espalha fácil;4.6
 Bioré  Aqua Rich Watery Essence FPS 50 - Protetor Solar Facial e Corporal 70g ; Bioré ;"bem aguadinho, nao gruda, nao mela, esbranquiça, pontos positivos. durabilidade, dá impressão gasta fato consistência aer suave e, portanto, acaba rapidinho! Vou usar tempo verificar efetividade. amei nao ter ""cheiro"" irritar pele alérgica!";4.6
 Bioré  Aqua Rich Watery Essence FPS 50 - Protetor Solar Facial e Corporal 70g ; Bioré ;Gostei muito, bem sequinho após secar fica oleoso.;4.6
 Bioré  UV Aqua Rich Aqua Protect Lotion FPS50 - Protetor Solar 70ml ; Bioré ;oleoso demais, liquido;4.6
 Bioré  UV Aqua Rich Aqua Protect Lotion FPS50 - Protetor Solar 70ml ; Bioré ;bom;4.6
 Bioré  UV Aqua Rich Aqua Protect Lotion FPS50 - Protetor Solar 70ml ; Bioré ;Produto bom, entrega promete, consistência perfeita pra gosta protetor pesando rosto, porém algum problema, dá pra realmente saber funciona contra raios solares, pois bem fino, recomendo produto, cheirinho bom;4.6
 Bioré  UV Aqua Rich Aqua Protect Lotion FPS50 - Protetor Solar 70ml ; Bioré ;Ótimo produto, bem liquido dificuldade aplicação;4.6
 Bioré  UV Aqua Rich Aqua Protect Lotion FPS50 - Protetor Solar 70ml ; Bioré ;confortável, passa pouco tempo sinto pele ficando bem oleosa, pele oleosa. Daí consigo imaginar reaplicar. Sinto alguns dias uso espinha, uso cleansing oil pra tirar. ainda assim melhores experimentei vida.;4.5
 Bioré  UV Aqua Rich Aqua Protect Lotion FPS50 - Protetor Solar 70ml ; Bioré ;bom;4.5
 Bioré  UV Aqua Rich Aqua Protect Lotion FPS50 - Protetor Solar 70ml ; Bioré ;oleoso demais, liquido;4.5
 Bioré  UV Aqua Rich Aqua Protect Lotion FPS50 - Protetor Solar 70ml ; Bioré ;Perfeição. amei protetor virou queridinho, perfeito usar maquiagem.;4.5
 Bioré  UV Aqua Rich Aqua Protect Lotion FPS50 - Protetor Solar 70ml ; Bioré ;Produto bom, entrega promete, consistência perfeita pra gosta protetor pesando rosto, porém algum problema, dá pra realmente saber funciona contra raios solares, pois bem fino, recomendo produto, cheirinho bom;4.5
 Bioré  UV Aqua Rich Aqua Protect Lotion FPS50 - Protetor Solar 70ml ; Bioré ;Perfeição. amei protetor virou queridinho, perfeito usar maquiagem.;4.6
 Bioré  UV Athlizm Skin Protect Essence FPS50 - Protetor Solar 70g ; Bioré ;Excelente produto! Recomendo;4.2
 Bioré  UV Athlizm Skin Protect Essence FPS50 - Protetor Solar 70g ; Bioré ;Ótimo protetor solar, fixa bem, junto outros produtos uso pele esfarelou, gostei bastante, sei legal usar maquiagem, caso melhor procurar aqua aqua rich.;4.2
 Bioré  UV Athlizm Skin Protect Essence FPS50 - Protetor Solar 70g ; Bioré ;Produto ruim. Corra! todos defeitos q protetor pode ter, tem. Exceto arde olhos.;4.2
 Bioré  UV Athlizm Skin Protect Essence FPS50 - Protetor Solar 70g ; Bioré ;dúvida excelente protetor, pra mim completamente cogitação uso rosto devido toque grudento. exatamente oleoso, “brilhoso” mesmo, achei impraticável pro rosto. Vai ficar pra uso corporal somente.;4.3
 Bioré  UV Athlizm Skin Protect Essence FPS50 - Protetor Solar 70g ; Bioré ;Excelente produto! Recomendo;4.3
 Bioré  UV Athlizm Skin Protect Essence FPS50 - Protetor Solar 70g ; Bioré ;Excelente;4.3
 Bioré  UV Athlizm Skin Protect Essence FPS50 - Protetor Solar 70g ; Bioré ;Melhor protetor pele mista oleosa parece faz lifting passa adorei preferido;4.3
 Bioré  UV Athlizm Skin Protect Essence FPS50 - Protetor Solar 70g ; Bioré ;Ótimo protetor solar, fixa bem, junto outros produtos uso pele esfarelou, gostei bastante, sei legal usar maquiagem, caso melhor procurar aqua aqua rich.;4.3
 Bioré  UV Athlizm Skin Protect Essence FPS50 - Protetor Solar 70g ; Bioré ;Otimo pra pele mista, fica sequinho. arde olhos fica derretendo.;4.2
 Bioré  UV Athlizm Skin Protect Essence FPS50 - Protetor Solar 70g ; Bioré ;dúvida excelente protetor, pra mim completamente cogitação uso rosto devido toque grudento. exatamente oleoso, “brilhoso” mesmo, achei impraticável pro rosto. Vai ficar pra uso corporal somente.;4.2
 Bioré  UV Athlizm Skin Protect Essence FPS50 - Protetor Solar 70g ; Bioré ;Excelente;4.2
 Bioré  UV Perfect Milk FPS 50 - Protetor Solar 40ml ; Bioré ;Tá pra criarem protetor substtua esse. Simplesmente perfeito;4.9
 Bioré  UV Perfect Milk FPS 50 - Protetor Solar 40ml ; Bioré ;Bom produto, deixar pele oleosa. Boa qualidade;4.9
 Bioré  UV Perfect Milk FPS 50 - Protetor Solar 40ml ; Bioré ;Queria poder dar mil estrelas. Melhor protetor solar . Leve, fluido, facil passar. pele fica incrivelmente sedosa seca. fica oleoso pegajoso. sensacao pele porcelana. Tecnologia japonesa outro nível.;4.9
 Bioré  UV Perfect Milk FPS 50 - Protetor Solar 40ml ; Bioré ;Gosto desse protetor. pele fica sequinha.;4.9
 Bioré  UV Perfect Milk FPS 50 - Protetor Solar 40ml ; Bioré ;Melhor protetor ja usei, deixa pele toque aveludado gostoso!;4.9
 Bioré  UV Perfect Milk FPS 50 - Protetor Solar 40ml ; Bioré ;Toque seco, aveludado, ótima fixação pele;4.9
 Cetaphil  Sun Antioxidante FPS 60 - Protetor Solar Facial 50ml ; Cetaphil ;Maravilhoso, cheiro perfume, espalha bem, deixa rosto branco, grudento, esfarela fica oleoso. Deixa pele macia hidrata. Vale cada centavo.;4.6
 Cetaphil  Sun Antioxidante FPS 60 - Protetor Solar Facial 50ml ; Cetaphil ;Gostei bastante. embalagem tipo pump, fica pouco oleoso seca fica bem bonito (minha pele tipo seca). Deixa aparência pele hidratada.;4.6
 Cetaphil  Sun Antioxidante FPS 60 - Protetor Solar Facial 50ml ; Cetaphil ;Otima textura, fragrância bem neutra.;4.6
 Cetaphil  Sun Antioxidante FPS 60 - Protetor Solar Facial 50ml ; Cetaphil ;cheiro , achei sequinho , deixa pele pouco oleosa;4.6
 Cicatricure  Antissinais - Protetor Solar FPS 50 40g ; Cicatricure ;Fácil aplicar, fica oleoso, efeito mate tão aparente.;3.0
 Cicatricure  Antissinais - Protetor Solar FPS 50 40g ; Cicatricure ;esfarela aplicar :( Sempre uso pó solto cima;3.0
 Cicatricure  Antissinais FPS50 Cor Clara - Protetor Solar Facial com Cor 40g ; Cicatricure ;;0.0
 Cicatricure  Antissinais FPS50 Cor Média - Protetor Solar Facial com Cor 40g ; Cicatricure ;;0.0
 Cosmobeauty  Blur M FPS 75 PPD 30 Bege Médio - Protetor Solar com Cor 50g ; Cosmobeauty ;Simolesmente maravilhoso, usei junto po compacto d marca, pele fica matte, parece q ta make, fica linda pele ainda protege muito. ate q repor estoque;5.0
 Cosmobeauty  Blur M FPS 75 PPD 30 Bege Médio - Protetor Solar com Cor 50g ; Cosmobeauty ;Produto maravilhoso, pele ficou ótima ele. ficou irritada, reduziu bastante oleosidade rosto.;5.0
 Cosmobeauty  Blur O3 FPS 95 PPD 50 Bege Médio - Protetor Solar com Cor 50g ; Cosmobeauty ;Maravilhoso;5.0
 Cosmobeauty  Blur O3 FPS 95 PPD 50 Natural - Protetor Solar com Cor 50g ; Cosmobeauty ;Maravilhoso;5.0
 Cosmobeauty  Control Spec Filtro Solar Redutor de Poros FPS 40 30g - Bege ; Cosmobeauty ;;0.0
 Cosmobeauty  Filtro Solar 18h Clarydefense FPS 50 PPD 20 50g ; Cosmobeauty ;;0.0
 Cosmobeauty  Filtro Solar Bastão Stick Blur Alta Cobertura FPS 75 18g - Bege ; Cosmobeauty ;;0.0
 Cosmobeauty  Filtro Solar Bastão Stick Blur Alta Cobertura FPS 75 18g - Bronze ; Cosmobeauty ;;0.0
 Cosmobeauty  Filtro Solar Bastão Stick Blur Alta Cobertura FPS 75 18g - Natural ; Cosmobeauty ;;0.0
 Cosmobeauty  Filtro Solar Blur A FPS 80 Anti Acne 50g - Bege ; Cosmobeauty ;;0.0
 Cosmobeauty  Filtro Solar Blur M FPS 75 Peles Manchadas 50g - Bronze ; Cosmobeauty ;pele melhorou bastante protetor, vivo usá-lo.;5.0
 Cosmobeauty  Filtro Solar Blur M FPS 75 Peles Melasma 50g - Natural Original ; Cosmobeauty ;;0.0
 Cosmobeauty  Filtro Solar Stick Blur FPS 75 PPD 25 - 18g - Bege ; Cosmobeauty ;deveria falará produtos top adorei;5.0
 Cosmobeauty  Filtro Solar em Pó Compact Blur Efeito Mate FPS 65 - Bege ; Cosmobeauty ;;0.0
 Cosmobeauty  Pó com Filtro Compact Blur FPS 65 PPD 21+ 12g - Bege ; Cosmobeauty ;;0.0
 Cosmobeauty  Pó com Filtro Compact Blur FPS 65 PPD 21+ 12g - Natural ; Cosmobeauty ;;0.0
 Creamy  Protetor Solar Watery Lotion FPS 60 - 50ml ; Creamy ;;0.0
 Creamy  Watery Lotion FPS 60 - Protetor Solar Facial 50ml ; Creamy ;Gostei bastante produto, rápida absorção, facil espalhar, toque seco. tipo deu super certo. Recomendo.;4.0
 Creamy  Watery Lotion FPS 60 - Protetor Solar Facial 50ml ; Creamy ;Gostei bastante! precisa tomar cuidado porque dependendo hidratante coloco baixo esfarela;4.0
 Creamy  Watery Lotion FPS 60 - Protetor Solar Facial 50ml ; Creamy ;Ponto positivo: arde olhos, textura leve, bem líquida gosto, fácil espalhar. pra pele deu certo, esfarela completamente quer use algo baixo quer não. Testei todas formas, pescoço, esfarela totalmente. triste pois amo produtos Creamy testei, porém realmente deu certo pra mim. pele mista.;4.0
 Creamy  Watery Lotion FPS 60 - Protetor Solar Facial 50ml ; Creamy ;protetor bom, fluído arde olhos, fica sequinho rosto esfarela. Uso hidratante bem levinho baixo espalhar fácil esfarelar.;4.0
 Creamy  Watery Lotion FPS 60 - Protetor Solar Facial 50ml ; Creamy ;protetor preferido. textura cheiro sao ponto;4.0
 Darrow  Actine Colors FPS70 Pele Clara - Protetor Solar com Cor 40g ; Darrow ;Funcionou bem pele, cor bem fraquinha, dá tanto aspecto base.;4.4
 Darrow  Actine Colors FPS70 Pele Clara - Protetor Solar com Cor 40g ; Darrow ;Deixa protegida bonita;4.4
 Darrow  Actine Colors FPS70 Pele Clara - Protetor Solar com Cor 40g ; Darrow ;Maravilhoso;4.4
 Darrow  Actine Colors FPS70 Pele Clara - Protetor Solar com Cor 40g ; Darrow ;pele mista decorrer dia pele fica sebosa, puro óleo. contar abre zona T, aparência fica horrível. indico.;4.4
 Darrow  Actine Colors FPS70 Pele Clara - Protetor Solar com Cor 40g ; Darrow ;ruim, nada uauu excelente kkkkkkk pra mim deu nada cobertura seca, menos cor ficou boa pele… senti tanta diferença controle oleosidade tbm.;4.4
 Darrow  Actine Colors FPS70 Pele Morena - Protetor Solar com Cor 40g ; Darrow ;Funcionou bem pele, cor bem fraquinha, dá tanto aspecto base.;4.4
 Darrow  Actine Colors FPS70 Pele Morena - Protetor Solar com Cor 40g ; Darrow ;Maravilhoso;4.4
 Darrow  Actine Colors FPS70 Pele Morena - Protetor Solar com Cor 40g ; Darrow ;pele mista decorrer dia pele fica sebosa, puro óleo. contar abre zona T, aparência fica horrível. indico.;4.4
 Darrow  Actine Colors FPS70 Pele Morena - Protetor Solar com Cor 40g ; Darrow ;ruim, nada uauu excelente kkkkkkk pra mim deu nada cobertura seca, menos cor ficou boa pele… senti tanta diferença controle oleosidade tbm.;4.4
 Darrow  Actine Colors FPS70 Pele Morena - Protetor Solar com Cor 40g ; Darrow ;Deixa protegida bonita;4.4
 Darrow  Actine Colors FPS70 Pele Morena Mais - Protetor Solar com Cor 40g ; Darrow ;Deixa protegida bonita;4.4
 Darrow  Actine Colors FPS70 Pele Morena Mais - Protetor Solar com Cor 40g ; Darrow ;Maravilhoso;4.4
 Darrow  Actine Colors FPS70 Pele Morena Mais - Protetor Solar com Cor 40g ; Darrow ;ruim, nada uauu excelente kkkkkkk pra mim deu nada cobertura seca, menos cor ficou boa pele… senti tanta diferença controle oleosidade tbm.;4.4
 Darrow  Actine Colors FPS70 Pele Morena Mais - Protetor Solar com Cor 40g ; Darrow ;pele mista decorrer dia pele fica sebosa, puro óleo. contar abre zona T, aparência fica horrível. indico.;4.4
 Darrow  Actine Colors FPS70 Pele Morena Mais - Protetor Solar com Cor 40g ; Darrow ;Funcionou bem pele, cor bem fraquinha, dá tanto aspecto base.;4.4
 Darrow  Actine FPS60 - Protetor Solar 40g ; Darrow ;produto maravilhoso pele fica sequinha! Amei;4.7
 Darrow  Actine FPS60 - Protetor Solar 40g ; Darrow ;ótimo produto! Deixa pele bem sequinha olha oleosa, único lado negativo deixa pouco esbranquiçado.;4.7
 Darrow  Actine FPS60 - Protetor Solar 40g ; Darrow ;experiência produto esperada, matificou pele controlou oleosidade. aplicar ja senti ficaria aspecto oleoso, apliquei pó solto corrigir. Geralmente uso protetor solar SUN FRESH DERM CARE NEUTROGENA efeito antioliosidade melhor;4.7
 Darrow  Actine FPS60 - Protetor Solar 40g ; Darrow ;Protetor deixa pele esbranquiçada. nao pele bem clara pra ver protetor.;4.7
 Darrow  Actine FPS60 - Protetor Solar 40g ; Darrow ;Recomendo , ótimo;4.7
 Darrow  Actine FPS60 - Protetor Solar 40g ; Darrow ;Leve fácil passar;4.7
 Darrow  Actine FPS60 - Protetor Solar com Cor 40g ; Darrow ;PERFEITO!!!;4.3
 Darrow  Actine FPS60 - Protetor Solar com Cor 40g ; Darrow ;Mto bom, cobre bem imperfeições, oleoso pele;4.3
 Darrow  Actine FPS60 - Protetor Solar com Cor 40g ; Darrow ;Adorei cor ficou ótima mim, deixou pele oleosa proteje;4.3
 Darrow  Actine FPS60 - Protetor Solar com Cor 40g ; Darrow ;Adoro filtro, ótimo custo benefício, leve (diferente Vichy), pouco inferior Isdin, compara custo. Dura pele mista cerca 5h, vai sumindo cor;4.3
 Darrow  Actine FPS60 - Protetor Solar com Cor 40g ; Darrow ;cheiro horrível gostei, textura pele fica meio grosseira, protetor leve.;4.3
 Dermage  Photoage Stick FPS 99 Cor Nude - Protetor Solar com Cor 12g ; Dermage ;Amei cobertura fácil passar, parece maquiada.;4.8
 Dermage  Photoage Stick FPS 99 Cor Nude - Protetor Solar com Cor 12g ; Dermage ;Simplesmente perfeito, super satisfeita compra.;4.8
 Dermage  Photoage Stick FPS 99 Cor Nude - Protetor Solar com Cor 12g ; Dermage ;Arde olho acaso escorre suor;4.8
 Dermage  Photoage Stick FPS 99 Cor Nude - Protetor Solar com Cor 12g ; Dermage ;Ótima cobertura craquela;4.8
 Dermage  Photoage Stick FPS 99 Cor Nude - Protetor Solar com Cor 12g ; Dermage ;gostei bastante. textura bem sequinha. sardas pra mim ficou ótimo tom, passo duas camadas após hidratante.;4.8
 Dermage  Photoage Stick Incolor FPS 99 - Protetor Solar 12g ; Dermage ;;0.0
 Dermage  Photoage Water Color FPS 60 - Protetor Solar Facial 40g ; Dermage ;Gostei, deixa pele sequinha. Porém dei 3 estrelas pq color mudou nada pele. Ficou mesma coisa incolor.;3.0
 Dermage  Photoage Water Color FPS 60 - Protetor Solar Facial 40g ; Dermage ;acrescenta cobertura nenhuma, deixa rosto amarelo tipo donald trump;3.0
 Dermage  Photoage Water Color FPS 60 - Protetor Solar Facial 40g ; Dermage ;Ganhei amostra opinião vale pena porque cor nenhuma!!!! cor sai embalagem, desaparece pele. sequinho? Sim. cor acho inútil comprar produto. comprado inteiro experimentar antes ia ficar brava dinheiro jogado fora.;3.0
 Dermage  Photoage Water FPS50 - Protetor Solar 40g ; Dermage ;Perfeitoooo;4.9
 Dermage  Photoage Water FPS50 - Protetor Solar 40g ; Dermage ;Melhor protetor vida, super sequinho cheiro, perfeito;4.9
 Dermage  Photoage Water FPS50 - Protetor Solar 40g ; Dermage ;protetor solar favorito! Sempre acaba recompro.;4.9
 Dermage  Photoage Water FPS50 - Protetor Solar 40g ; Dermage ;Melhor protetor vida???fica saquinho arde olhos,amooo protetor ???;4.9
 Dermage  Photoage Water FPS50 - Protetor Solar 40g ; Dermage ;Maravilhoso;4.9
 Dermage  Photoage Water FPS50 - Protetor Solar 40g ; Dermage ;Maravilhosoooo, melhor protetor ja usei, indicação dermatologista, nao craquela , super sequinho, nao escorre suor , podem comprar medo , nao vão arrepender !!;4.9
 Divcom pharma  Imecap Face Creme Antirrugas Dia FPS 30 com 35g ; Divcom pharma ;;0.0
 Divcom pharma  Imecap Face Creme Antirrugas Noturno 35g ; Divcom pharma ;;0.0
 Ekilibre Amazônia  FPUVA 28 FPS 30 - Protetor Solar 90g ; Ekilibre Amazônia ;Bom, vi alguns comentários negativos sobre produto, porém devemos levar conta protetor solar natural, então sim, diferente acostumados (cheiro, textura, coloração). Acredito assusta início coloração, porém mim bem branca, início fico amarelada, porém pele absorve fica normal. Super indico pois produto além proteger vai tratar fato pele?;4.2
 Ekilibre Amazônia  FPUVA 28 FPS 30 - Protetor Solar 90g ; Ekilibre Amazônia ;Produto chegou 3 dias, produto ótimo , equipe atenciosamente enviou ate bilhetinho;4.2
 Ekilibre Amazônia  FPUVA 28 FPS 30 - Protetor Solar 90g ; Ekilibre Amazônia ;Melhor imaginava, deixa pele hidratada pesar;4.2
 Ekilibre Amazônia  FPUVA 28 FPS 30 - Protetor Solar 90g ; Ekilibre Amazônia ;passar rosto pele fica amarela, tipo hepatite, menos mim branquinha. Ficou bem brilhante também... decepção, vou deixar corpo.;4.2
 Ekilibre Amazônia  FPUVA 28 FPS 30 - Protetor Solar 90g ; Ekilibre Amazônia ;primeira vez uso protetor solar natural,por ter cheiro natural achei pouco estranho gostei atuação pele. ficou oleoso,nem pegajoso,a pele absorveu super bem. Quanto proteção ainda posso opinar usei curto período, trabalho local fechado pouco contato sol.;4.2
