prod-descr;prod-;prod-comentario;prod-aval
 Mantecorp  Episol Color Tom 2 Claro FPS 70 - Protetor Solar Facial com Cor 40ml ; Mantecorp ;Perfeito, oleoso.;4.5
 Mantecorp  Episol Color Tom 2 Claro FPS 70 - Protetor Solar Facial com Cor 40ml ; Mantecorp ;Melhor protetor solar, super recomendo;4.5
 Mantecorp  Episol Color Tom 2 Claro FPS 70 - Protetor Solar Facial com Cor 40ml ; Mantecorp ;ate boa cobertura precisa dedicar pouquinho p espalhar, pq grossinho.;4.5
 Mantecorp  Episol Color Tom 2 Claro FPS 70 - Protetor Solar Facial com Cor 40ml ; Mantecorp ;Excelente;4.5
 Mantecorp  Episol Color Tom 3 Médio FPS 70 - Protetor Solar Facial com Cor 40ml ; Mantecorp ;ate boa cobertura precisa dedicar pouquinho p espalhar, pq grossinho.;4.5
 Mantecorp  Episol Color Tom 3 Médio FPS 70 - Protetor Solar Facial com Cor 40ml ; Mantecorp ;Excelente;4.5
 Mantecorp  Episol Color Tom 3 Médio FPS 70 - Protetor Solar Facial com Cor 40ml ; Mantecorp ;Perfeito, oleoso.;4.5
 Mantecorp  Episol Color Tom 3 Médio FPS 70 - Protetor Solar Facial com Cor 40ml ; Mantecorp ;Adoro protetor, cor fica perfeita pele, preciso usar base depois, pois acabamento fino. Completo pó mesma marca fica perfeito. Super recomendo.;4.5
 Mantecorp  Episol Color Tom 3 Médio FPS 70 - Protetor Solar Facial com Cor 40ml ; Mantecorp ;Melhor protetor solar, super recomendo;4.5
 Mantecorp  Episol Color Tom 3 Médio FPS 70 - Protetor Solar Facial com Cor 40ml ; Mantecorp ;Povo pele asfalto esburacado querendo protetor cor faça milagre!!!! protetor solar santo causas impossíveis!!!!;4.5
 Mantecorp  Episol Color Tom 5 Negro FPS 70 - Protetor Solar Facial com Cor 40ml ; Mantecorp ;Excelente;4.5
 Mantecorp  Episol Color Tom 5 Negro FPS 70 - Protetor Solar Facial com Cor 40ml ; Mantecorp ;Melhor protetor solar, super recomendo;4.5
 Mantecorp  Episol Color Tom 5 Negro FPS 70 - Protetor Solar Facial com Cor 40ml ; Mantecorp ;Adoro protetor, cor fica perfeita pele, preciso usar base depois, pois acabamento fino. Completo pó mesma marca fica perfeito. Super recomendo.;4.5
 Mantecorp  Episol Color Tom 5 Negro FPS 70 - Protetor Solar Facial com Cor 40ml ; Mantecorp ;Perfeito, oleoso.;4.5
 Mantecorp  Episol Color Tom 5 Negro FPS 70 - Protetor Solar Facial com Cor 40ml ; Mantecorp ;ate boa cobertura precisa dedicar pouquinho p espalhar, pq grossinho.;4.5
 Mantecorp  Episol Intense Bruma FPS 50 - Protetor Solar Facial 200ml ; Mantecorp ;prático, adoro protetor;5.0
 Mantecorp  Episol Intense Bruma FPS 50 - Protetor Solar Facial 200ml ; Mantecorp ;Protetor fácil aplicação gruda pele. perfeito. Ótima escolha.;5.0
 Mantecorp  Episol Sec OC FPS 60 - Protetor Solar Facial 60g ; Mantecorp ;Ótimo produto.;4.8
 Mantecorp  Episol Sec OC FPS 60 - Protetor Solar Facial 60g ; Mantecorp ;Amei protetor solar. oleoso cheirinho gostoso!;4.8
 Mantecorp  Episol Sec OC FPS 60 - Protetor Solar Facial 60g ; Mantecorp ;Ótimo, super recomendo;4.8
 Mantecorp  Episol Sec OC FPS 60 - Protetor Solar Facial 60g ; Mantecorp ;Perfeito.;4.8
 Mantecorp  Episol Sec OC FPS 60 - Protetor Solar Facial 60g ; Mantecorp ;recomendado dermatologista;4.8
 Mantecorp  Episol Sec Oc FPS 60 Claro - Protetor Solar Facial com Cor 60ml ; Mantecorp ;protetor denso, difícil espalhar pele oleosa molhar rosto fica esbranquiçado. acho conseguirei usar casa.;3.6
 Mantecorp  Episol Sec Oc FPS 60 Claro - Protetor Solar Facial com Cor 60ml ; Mantecorp ;MARAVILHOSO;3.6
 Mantecorp  Episol Sec Oc FPS 60 Claro - Protetor Solar Facial com Cor 60ml ; Mantecorp ;Cheirinho suave.acabameto bom.Pena ficou escuro pele.;3.6
 Mantecorp  Episol Sec Oc FPS 60 Claro - Protetor Solar Facial com Cor 60ml ; Mantecorp ;Produto chegou, porém pedi médio veio tom escuro, pele ficou bom. relação textura ficou bom.;3.6
 Mantecorp  Episol Sec Oc FPS 60 Claro - Protetor Solar Facial com Cor 60ml ; Mantecorp ;usando cor amei textura surpresa comprei médio escuro agora bronzeada ficou perfeito, alguns dias uso 2 misturados. pele extremamente oleosa e, apesar parecer hidratante passo, fica sequinho. Transfere pressionar apenas, nada demais. dia-a-dia ficou ótimo disfarçou melasma.;3.6
 Mantecorp  Episol Sec Oc FPS 60 Médio - Protetor Solar Facial com Cor 60ml ; Mantecorp ;MARAVILHOSO;3.6
 Mantecorp  Episol Sec Oc FPS 60 Médio - Protetor Solar Facial com Cor 60ml ; Mantecorp ;usando cor amei textura surpresa comprei médio escuro agora bronzeada ficou perfeito, alguns dias uso 2 misturados. pele extremamente oleosa e, apesar parecer hidratante passo, fica sequinho. Transfere pressionar apenas, nada demais. dia-a-dia ficou ótimo disfarçou melasma.;3.6
 Mantecorp  Episol Sec Oc FPS 60 Médio - Protetor Solar Facial com Cor 60ml ; Mantecorp ;Produto chegou, porém pedi médio veio tom escuro, pele ficou bom. relação textura ficou bom.;3.6
 Mantecorp  Episol Sec Oc FPS 60 Médio - Protetor Solar Facial com Cor 60ml ; Mantecorp ;protetor denso, difícil espalhar pele oleosa molhar rosto fica esbranquiçado. acho conseguirei usar casa.;3.6
 Mantecorp  Episol Sec Oc FPS 60 Médio - Protetor Solar Facial com Cor 60ml ; Mantecorp ;Cheirinho suave.acabameto bom.Pena ficou escuro pele.;3.6
 Mantecorp  Epsiol Smart Color FPS 50 - Protetor Solar Facial com Cor 40ml ; Mantecorp ;Produto Horrível! Transfere demais, deixou pele oleosa cor adequou.;3.3
 Mantecorp  Epsiol Smart Color FPS 50 - Protetor Solar Facial com Cor 40ml ; Mantecorp ;Produto bom. Primeiro textura branca cor, entrar contato pele assume tonalidade precisa. usar sozinho achei perfeito precisa fazer make craquela. aceita camadas.;3.3
 Mantecorp  Epsiol Smart Color FPS 50 - Protetor Solar Facial com Cor 40ml ; Mantecorp ;Diz adapta tom pele fiquei laranja;3.3
 Mantecorp  Epsiol Smart Color FPS 50 - Protetor Solar Facial com Cor 40ml ; Mantecorp ;Perfeição adequar cada cor!! Melhor usei tom levinho ???;3.3
 Mantecorp  Epsiol Smart Color FPS 50 - Protetor Solar Facial com Cor 40ml ; Mantecorp ;Produto fica uniforme pele. gostei textura.;3.3
 Mantecorp  Kit Episol Color Proteção e Uniformização (2 Produtos) ; Mantecorp ;Uso protetor bom tempo, sempre gostei dele. Entrega boa cobertura deixa pele bem aveludada, sempre selei pó comum, comprar marca, surpreendi, segura tempo oleosidade pele dá ótimo acabamento. Único ponto positivo qualquer água protetor escorre.;5.0
 Mantecorp  Kit Episol Color Proteção e Uniformização (2 Produtos) ; Mantecorp ;Amei kit , super recomendo indiquei amigas pq qualidade ótima ,;5.0
 Mantecorp  Kit Episol Color Uniformização e Proteção (2 Produtos) ; Mantecorp ;;0.0
 Melora  Heliocare Max Defense Gel Creme Color Nude Light FPS 50 - Protetor Solar com Cor 50g ; Melora ;melhor usei! Usava BB cream missha.. porém, caro, decidi testar novo produto. Substitui facilmente missha. Simplesmente M I.;4.2
 Melora  Heliocare Max Defense Gel Creme Color Nude Light FPS 50 - Protetor Solar com Cor 50g ; Melora ;Produto textura maravilhosa, ótimo pessoas pele normal mistas , pele extremamente oleosa pode fique tão sequinho... assim pele fica linda ,com ar saudável. Cheiro maravilhoso leve . Cobertura média Apresentação Pump. dermoconsultora indico pessoas pele sensível. Super confiável!;4.2
 Melora  Heliocare Max Defense Gel Creme Color Nude Light FPS 50 - Protetor Solar com Cor 50g ; Melora ;usar protetor ficar frio, arcondicionado qualquer ambiente exposição calor, bom produto. Porém, usei academia (detalhe, academia arcondicionado) começar suar protetor simplesmente DERRETEU INTEIRO! recompraria! recomendaria ninguém q quisesse usar praia academia. Sei marca promete resistência agua suor, valor produto, fiquei decepcionada entrega;4.2
 Melora  Heliocare Max Defense Gel Creme Color Nude Light FPS 50 - Protetor Solar com Cor 50g ; Melora ;usuária deste protetor solar faz bom tempo, excelente proteção boa cobertura pra melasma caso. Utilizo cor nude light. desta ultima vez comprei decepção cor veio completamente diferente antes fiquei rosto totalmente alaranjado embalagem mudou, deve ter mudado formulação junto, pena pois cor produto excelente pele clara.;4.2
 Melora  Heliocare Max Defense Gel Creme Color Nude Light FPS 50 - Protetor Solar com Cor 50g ; Melora ;havia experimentado amostra produto, sendo tom escuro, decidi comprar tom claro nude light. Ocorre cor nude light ficou escura pele, passar produto adiante irmã, mãe, sogra, amigas, todos diferentes tons pele experimentaram Heliocare max defense nude light, surpresa, ficou bom NINGUÉM! pele morena ficou escuro! impressão joguei dinheiro fora!;4.2
 Melora  Melora C Max Espuma FPS 50 - Protetor Solar Facial 45ml ; Melora ;Gosto desse produto. dermatologista receitou.;4.0
 NIVEA  Nivea Sun Toque Seco Antissinais FPS 30 - Protetor Solar Facial 40ml ; NIVEA ;;0.0
 NIVEA  Nivea Sun Tripla Proteção Controle de Oleosidade FPS 65 - Protetor Solar Facial 40ml ; NIVEA ;Deixa aspecto oleoso produto esfarela seca.;2.0
 NIVEA  Nivea Sun Tripla Proteção Controle de Oleosidade FPS 65 - Protetor Solar Facial 40ml ; NIVEA ;produto descrito pele oleosa, pele aumentou oleosidade, conseguindo usar tão oleoso, pele fica brilhando logo passa.;2.0
 NIVEA  Nivea Sun Tripla Proteção Controle de Oleosidade FPS 65 - Protetor Solar Facial 40ml ; NIVEA ;Pior protetor solar usei, extremamente oleoso esfarela!;2.0
 NIVEA  Nivea Sun Tripla Proteção Controle de Oleosidade FPS 65 - Protetor Solar Facial 40ml ; NIVEA ;pele extremamente oleosa semana uso fiquei espinhas então acho maravilhoso, testei muitas marcas todas davam acne. peles recomendo compra.;2.0
 NIVEA  Nivea Sun Tripla Proteção Controle de Oleosidade FPS 65 - Protetor Solar Facial 40ml ; NIVEA ;Esfarela deixa pele oleosa;2.0
 NIVEA  SUN Beauty Expert Pele Equilibrada à Seca FPS 60 - Protetor Solar Facial 50g ; NIVEA ;Excelente, pele super sequinha, protege muito!;5.0
 NIVEA  SUN Beauty Expert Pele Equilibrada à Seca FPS 60 - Protetor Solar Facial 50g ; NIVEA ;melhor protetor solar facial usei! Deixa pele macia hidratada, toque seda realmente. fórmula leve cheiro bom!;5.0
 NIVEA  SUN Beauty Expert Pele Equilibrada à Seca FPS 60 - Protetor Solar Facial 50g ; NIVEA ;recebi brinde, sachê desse produto adorei sensação maciez deixa pele! protetor sequinho sensação hidratante! irei comprar sempre.;5.0
 NIVEA  SUN Beauty Expert Pele Equilibrada à Seca FPS 60 - Protetor Solar Facial 50g ; NIVEA ;Excelente pele seca, oleoso espalha bem. textura boa, fico sem.;5.0
 NIVEA  SUN Beauty Expert Pele Equilibrada à Seca FPS 60 - Protetor Solar Facial 50g ; NIVEA ;;
 NIVEA  SUN Toque Seco Antissinais FPS 70 - Protetor Solar Facial 40ml ; NIVEA ;nada toque seco, vc quiser ficar cara totalmente oleosa cheia espinhas produto certo;3.9
 NIVEA  SUN Toque Seco Antissinais FPS 70 - Protetor Solar Facial 40ml ; NIVEA ;Chegou rápido excelente produto ? atendimento impecável ?;3.9
 NIVEA  SUN Toque Seco Antissinais FPS 70 - Protetor Solar Facial 40ml ; NIVEA ;Produto péssimo, parece cola. Apesar “barato”, comprem! Horrível, pele seca assim rosto fica aparência oleoso.;3.9
 NIVEA  SUN Toque Seco Antissinais FPS 70 - Protetor Solar Facial 40ml ; NIVEA ;Bom produto.;3.9
 NIVEA  SUN Toque Seco Antissinais FPS 70 - Protetor Solar Facial 40ml ; NIVEA ;bom! dá medinho pesar rosto deixar oleoso fica ótimo! custo beneficio excelente.;3.9
 NIVEA  Sun Beauty Expert Controle de Oleosidade FPS 60 Média - Protetor Solar Facial com Cor 50g ; NIVEA ;Vale pena! Amei! Recomendo;4.5
 NIVEA  Sun Beauty Expert Controle de Oleosidade FPS 60 Média - Protetor Solar Facial com Cor 50g ; NIVEA ;Achei deixa pele seca prometido;4.5
 NIVEA  Sun Beauty Expert Facial Controle de Oleosidade FPS 60 - Protetor Solar Facial 50g ; NIVEA ;Ótimo protetor solar pra pele oleosa pode ficar tranquila, pois deixa aspecto sequinho.;4.9
 NIVEA  Sun Beauty Expert Facial Controle de Oleosidade FPS 60 - Protetor Solar Facial 50g ; NIVEA ;Deveria ter comprado ótimo produto;4.9
 NIVEA  Sun Beauty Expert Facial Controle de Oleosidade FPS 60 - Protetor Solar Facial 50g ; NIVEA ;Ótimo custo benefício. Rende bastante. esfarela. deixa efeito exatamente mate, deixou aspecto oleoso. Cheiro discreto. arde olhos.;4.9
 NIVEA  Sun Beauty Expert Facial Controle de Oleosidade FPS 60 - Protetor Solar Facial 50g ; NIVEA ;Gosto desse protetor. Mantém pele rosto sequinha todo dia, deixa rosto esbranquiçado, boa textura, pegajoso, pele rosto bonita. Ótimo custo benefício;4.9
 NIVEA  Sun Beauty Expert Facial Controle de Oleosidade FPS 60 - Protetor Solar Facial 50g ; NIVEA ;Parece creme, cheiro bom, fica branco fica bem efeito matte.;4.9
 NIVEA  Sun Spot Control Luminous 630® FPS 60 - Protetor Solar Facial 40ml ; NIVEA ;Gostei bastante textura, nao fica oleosa.;4.8
 NIVEA  Sun Spot Control Luminous 630® FPS 60 - Protetor Solar Facial 40ml ; NIVEA ;Toque seco controla oleosidade.;4.8
 NIVEA  Sun Spot Control Luminous 630® FPS 60 - Protetor Solar Facial 40ml ; NIVEA ;Bom preço, entrega rápida, boa marca. Ainda testei;4.8
 NIVEA  Sun Spot Control Luminous 630® FPS 60 - Protetor Solar Facial 40ml ; NIVEA ;bom protetor;4.8
 NIVEA  Sun Toque Seco Antissinais FPS 30 - Protetor Solar Facial 40ml ; NIVEA ;;0.0
 NIVEA  Sun Tripla Proteção Antissinais FPS50 - Protetor Solar Facial 40ml ; NIVEA ;Bah, pra mim deu certo. gostei cheiro, sensação deixa pele. pele oleosa vai odiar. é, ficou toda sebosa kkkk. Ainda bem peguei promoção paguei caro. Obs: versão rosa maravilhoso!;3.8
 NIVEA  Sun Tripla Proteção Antissinais FPS50 - Protetor Solar Facial 40ml ; NIVEA ;Gostei bastante, tanto segundo compro, uso bioré comparado deixa desejar, espalha bem deixa pele oleosa!;3.8
 NIVEA  Sun Tripla Proteção Antissinais FPS50 - Protetor Solar Facial 40ml ; NIVEA ;Protetor excelente, segundo, recomendaria pra pele normal seca, deixa viço perfeito;3.8
 NIVEA  Sun Tripla Proteção Antissinais FPS50 - Protetor Solar Facial 40ml ; NIVEA ;Maravilhoso;3.8
 NIVEA  Sun Tripla Proteção Pele Radiante FPS 50 - Protetor Solar Facial 40ml ; NIVEA ;adorei protetor, pele sensível aceitou super bem, provocar acne vermelhidão. Deixa aspecto radiante saudável.;4.7
 NIVEA  Sun Tripla Proteção Pele Radiante FPS 50 - Protetor Solar Facial 40ml ; NIVEA ;Produto otimo, gostei absorção, apareceu espinhas.;4.7
 NIVEA  Sun Tripla Proteção Pele Radiante FPS 50 - Protetor Solar Facial 40ml ; NIVEA ;Recomendo.;4.7
 NIVEA  Sun Tripla Proteção Pele Radiante FPS 50 - Protetor Solar Facial 40ml ; NIVEA ;Excelente pele oleosa.;4.7
 NIVEA  Sun Tripla Proteção Pele Radiante FPS 50 - Protetor Solar Facial 40ml ; NIVEA ;Amei produto! cheirinho chamou atenção logo abri, cheirinho gostoso, lembra hidratante corporal, nao cheiro protetor solar forte. pele oleosa ficou sequinho pele, gostoso usar, absorve rápido, sinto pele saudável, leve após usar. Uso dia dia, ficar casa! Comprei valor promocional chegou menos semana junto outros produtos, super compraria novamente!!!;4.7
 NeoStrata  Kit Minesol FPS70 (2 Produtos) ; NeoStrata ;pele fica bem sequinha! Amei!;4.6
 NeoStrata  Kit Minesol FPS70 (2 Produtos) ; NeoStrata ;Indicação Dermatologista.;4.6
 NeoStrata  Kit Minesol FPS70 (2 Produtos) ; NeoStrata ;bom protetor pele oleosa. Toque seco matizador, porém mim funcionou, porque reagiu outros produtos Skin Care. produto esfarelou inteiro antes espelhar completo, atendeu expectativa (uso ácido hialuronico / vitamina c / hidratante antes. Pode fórmulas consumo compatíveis ele);4.6
 NeoStrata  Kit Minesol FPS70 (2 Produtos) ; NeoStrata ;Amo protetor, pele fica super sequinha, ideal usar antes maquiagem. Comprei dessa fez corpo, ainda nao testei.;4.6
 NeoStrata  Kit Minesol FPS70 (2 Produtos) ; NeoStrata ;Produto excelente, usei Alagoas sol 32° bem branca usando vez tomando banho mar, pele queimada, pouco vermelha sofrimento queimadura fiquei quatro dias, dois dias piscinas naturais. Passei manhã precisei passar novamente durante período fiquei exposta sol. recomendo qdo sair mar tomar ducha água doce ajuda muito. recomendo.;4.6
 NeoStrata  Minesol Oil Control FPS 30 - Protetor Solar Facial 40g ; NeoStrata ;Usava protetor la roche anos, resolvi mudar comprei esse, gostei bastante, fica bem sequinho pele!;4.9
 NeoStrata  Minesol Oil Control FPS 30 - Protetor Solar Facial 40g ; NeoStrata ;Perfeito!! deixa pele oleosa. Vale cada centavo;4.9
 NeoStrata  Minesol Oil Control FPS 30 - Protetor Solar Facial 40g ; NeoStrata ;Perfeito pele oleosa acneica.;4.9
 NeoStrata  Minesol Oil Control FPS 30 - Protetor Solar Facial 40g ; NeoStrata ;Super sequinho, deixa rosto branco Matifica interfere fixação maquiagem Amei;4.9
 NeoStrata  Minesol Oil Control FPS 30 - Protetor Solar Facial 40g ; NeoStrata ;pena vegano protetor melhor funcionar pele bem oleosa.;4.9
 NeoStrata  Minesol Oil Control FPS 70 - Protetor Solar Facial 40g ; NeoStrata ;bom;4.9
 NeoStrata  Minesol Oil Control FPS 70 - Protetor Solar Facial 40g ; NeoStrata ;;0.0
 NeoStrata  Minesol Oil Control FPS 70 - Protetor Solar Facial 40g ; NeoStrata ;"ótimo produto, pele mista percebi controla oleosidade pele (no 3°dia uso); textura parecida creme, então espalha bem; hidrata pele";4.9
 NeoStrata  Minesol Oil Control FPS 70 - Protetor Solar Facial 40g ; NeoStrata ;Comecei usar faz pouco dias, princípio maravilhoso, fácil espalhar, textura gostosa pele. adorando agora.;4.9
 NeoStrata  Minesol Oil Control FPS 70 - Protetor Solar Facial 40g ; NeoStrata ;otim, inicialmente deixa pele meio esbranquiçada, alguns minutinhos assenta pele. boa testura, líquida grossa.;4.9
 NeoStrata  Minesol Oil Control FPS 70 - Protetor Solar Facial 40g ; NeoStrata ;Amei, textura boa pele, fácil aplicar realmente controla oleosidade. Comprarei novamente.;4.9
 NeoStrata  Minesol Oil Control FPS 70 - Protetor Solar Facial 40g ; NeoStrata ;dermatologista dra Suellen Louzich indicou excelente protetor solar justamente porque pele esposo oleosa. adaptou bem, toque seco macio.;4.9
 NeoStrata  Minesol Oil Control FPS 70 - Protetor Solar Facial 40g ; NeoStrata ;Simplesmente perfeito, principalmente pra pele oleosa, deixa pele sequinha deixar esbranquiçado, amei demais;4.9
 NeoStrata  Minesol Oil Control FPS 70 - Protetor Solar Facial 40g ; NeoStrata ;Criei enorme expectativa devido grande indicação avaliações positivas, porém desiludi encontrar neste produto protetor solar facial deixa pele oleosa, esbranquiçada arde olhos.;4.9
 NeoStrata  Minesol Oil Control FPS 70 - Protetor Solar Facial 40g ; NeoStrata ;Faz tempo adaptando, acho mudou algo fórmula tão sequinho alguns anos;4.9
 NeoStrata  Minesol Oil Control FPS 70 - Protetor Solar Facial 40g ; NeoStrata ;Profuto chegou super rapido, protetor excelente absorção. Primeiro protetor uso nao fica transferindo.;4.9
 NeoStrata  Minesol Oil Control FPS 70 Pele Clara - Protetor Solar com Cor 40g ; NeoStrata ;uso protetor, cobertura boa parece tô usando protetor, parece base hidratante bem leve.;4.8
 NeoStrata  Minesol Oil Control FPS 70 Pele Clara - Protetor Solar com Cor 40g ; NeoStrata ;Produto maravilhoso simplesmente melhor protetor solar pra pele oleosa;4.8
 NeoStrata  Minesol Oil Control FPS 70 Pele Clara - Protetor Solar com Cor 40g ; NeoStrata ;melhor protetor solar usei. tentei usar outros, sempre volto esse.;4.8
 NeoStrata  Minesol Oil Control FPS 70 Pele Clara - Protetor Solar com Cor 40g ; NeoStrata ;Amei protetor, deixa pele parecendo maquiagem, cobre bem, cor q clara, ainda ficou levemente escura rosto, ainda passa pó cor cima. Único defeito q grossa, poucos usos acaba :(;4.8
 NeoStrata  Minesol Oil Control FPS 70 Pele Clara - Protetor Solar com Cor 40g ; NeoStrata ;Excelente, uso 5 anos, nao troco nada. melhor base proteção ?;4.8
 NeoStrata  Minesol Oil Control FPS 70 Pele Clara - Protetor Solar com Cor 40g ; NeoStrata ;Excelente!;4.8
 NeoStrata  Minesol Oil Control FPS 70 Pele Clara - Protetor Solar com Cor 40g ; NeoStrata ;Amo protetor, uso tempo! chegou caixa machucada aberta! pedi cor Morena chegou Médio Escuro!;4.8
 NeoStrata  Minesol Oil Control FPS 70 Pele Clara - Protetor Solar com Cor 40g ; NeoStrata ;adoro protetor cor, deixa pele protegida ficar oleosa;4.8
 NeoStrata  Minesol Oil Control FPS 70 Pele Morena - Protetor Solar com Cor 40g ; NeoStrata ;adoro protetor cor, deixa pele protegida ficar oleosa;4.8
 NeoStrata  Minesol Oil Control FPS 70 Pele Morena - Protetor Solar com Cor 40g ; NeoStrata ;Amo protetor, uso tempo! chegou caixa machucada aberta! pedi cor Morena chegou Médio Escuro!;4.8
 NeoStrata  Minesol Oil Control FPS 70 Pele Morena - Protetor Solar com Cor 40g ; NeoStrata ;Excelente!;4.8
 NeoStrata  Minesol Oil Control FPS 70 Pele Morena - Protetor Solar com Cor 40g ; NeoStrata ;Produto maravilhoso simplesmente melhor protetor solar pra pele oleosa;4.8
 NeoStrata  Minesol Oil Control FPS 70 Pele Morena - Protetor Solar com Cor 40g ; NeoStrata ;Excelente, uso 5 anos, nao troco nada. melhor base proteção ?;4.8
 NeoStrata  Minesol Oil Control FPS 70 Pele Morena Mais - Protetor Solar com Cor 40g ; NeoStrata ;Produto maravilhoso simplesmente melhor protetor solar pra pele oleosa;4.8
 NeoStrata  Minesol Oil Control FPS 70 Pele Morena Mais - Protetor Solar com Cor 40g ; NeoStrata ;Excelente, uso 5 anos, nao troco nada. melhor base proteção ?;4.8
 NeoStrata  Minesol Oil Control FPS 70 Pele Morena Mais - Protetor Solar com Cor 40g ; NeoStrata ;adoro protetor cor, deixa pele protegida ficar oleosa;4.8
 NeoStrata  Minesol Oil Control FPS 70 Pele Morena Mais - Protetor Solar com Cor 40g ; NeoStrata ;Excelente!;4.8
 NeoStrata  Minesol Oil Control FPS 70 Pele Morena Mais - Protetor Solar com Cor 40g ; NeoStrata ;Amo protetor, uso tempo! chegou caixa machucada aberta! pedi cor Morena chegou Médio Escuro!;4.8
 NeoStrata  Minesol Oil Control FPS 70 Pele Morena Mais - Protetor Solar com Cor 40g ; NeoStrata ;melhor protetor solar usei. tentei usar outros, sempre volto esse.;4.8
 NeoStrata  Minesol Oil Control Sérum FPS 30 - Protetor Solar Facial 40g ; NeoStrata ;maravilhoso sérum, cheirinho bem suave, pele fica bem sequinha, melhor sérum usei.;5.0
 NeoStrata  Minesol Oil Control Sérum FPS 30 - Protetor Solar Facial 40g ; NeoStrata ;Produto maravilhoso, textura leve controla oleosidade verdade.;5.0
 NeoStrata  Minesol Oil Control Sérum FPS 30 - Protetor Solar Facial 40g ; NeoStrata ;arrependi amargamente ter comprado produto. sérum, gel, transparente. creme aguado, CHEIRO FORTÍSSIMO protetor solar, tipo cheiro protetor solar praia. isso, desconfortável, além proteção apenas 30. Usei durante muitos anos Roc Minesol Oil Control creme toque seco sempre amei, textura seca cheiro, sim melhor.;5.0
 NeoStrata  Minesol Oil Control Sérum FPS 30 - Protetor Solar Facial 40g ; NeoStrata ;bom indicado possui pele oleosa (indicação dermatologista).;5.0
 NeoStrata  Minesol Rosto & Corpo FPS30 - Protetor Solar Fluido Hidratante 200ml ; NeoStrata ;uso rosto anos, comprei corpo agora testar. Aparentemente bom, fica pegajoso, cheiro bem suave.;4.7
 NeoStrata  Minesol Rosto & Corpo FPS30 - Protetor Solar Fluido Hidratante 200ml ; NeoStrata ;Cheiro bom, produto pegajoso.;4.7
 NeoStrata  Minesol Rosto & Corpo FPS30 - Protetor Solar Fluido Hidratante 200ml ; NeoStrata ;Comprei protetor usar rosto, muitas expectativas tratar produto todos tipos pele, pele sendo oleosa acneica adaptou bem, ter paciência espalhar pois some pele deixa toque aveludado durante dia senti pele oleosa, então aprovado usar rosto, ótima qualidade bom custo benefício!;4.7
 Neutrogena  Sun Fresh Derm Care FPS 30 - Protetor Solar Facial 40g ; Neutrogena ;Voltei aqui pra avaliar dizer protetor perfeito. usei outros nunca conseguia acostumar. ótimo, deixa pele bem sequinha aveludada jeito gosto. falar cheirinho ótimo. cheiro protetor solar, parece cosmético cheiro.;4.9
 Neutrogena  Sun Fresh Derm Care FPS 30 - Protetor Solar Facial 40g ; Neutrogena ;Ainda preciso usar vezes. Comprei indicação dermatologista, dependendo qtde rosto fica branco, hora passar meio pegajoso. lembrou protetores rosto antigamente. Ficou parecendo rosto ia ficar oleoso, vou tentar mais, vamos ver;4.9
 Neutrogena  Sun Fresh Derm Care FPS 30 - Protetor Solar Facial 40g ; Neutrogena ;unico protetor facial atendeu expectativas pele oleosa, corporal bom entrega bem rapida;4.9
 Neutrogena  Sun Fresh Derm Care FPS 30 - Protetor Solar Facial 40g ; Neutrogena ;Perfeito, deixa textura pele ótima. esfarela deixa pele parecendo passou nada. melhores ja usei, contar custo benefício. melhor todos experimentei vichy, la roche, episol ... outras marcas costumam favoritas neutrogena.;4.9
 Neutrogena  Sun Fresh Derm Care FPS 30 - Protetor Solar Facial 40g ; Neutrogena ;Entrega sempre rápida preços bons produtos maravilhoso?? perfeito pele oleosa;4.9
 Neutrogena  Sun Fresh Derm Care FPS 70 - Protetor Solar Facial 40g ; Neutrogena ;melhor protetor solar pra pele oleosa testei. Passei tempo usando outros pessoal internet indica gasto dinheiro, pq melhor protetor melhor custo benefício mercado opinião sum fresh neutrogena!!!;4.8
 Neutrogena  Sun Fresh Derm Care FPS 70 - Protetor Solar Facial 40g ; Neutrogena ;melhores protetores solares ja usei, absorve bem pegajoso, pode usar maquiagem após uso protetor vai esfarelar.;4.8
 Neutrogena  Sun Fresh Derm Care FPS 70 - Protetor Solar Facial 40g ; Neutrogena ;Arrisco dizer melhor protetor ja usei , moro MT faz 45º sombra achei bem sequinho (eu pele seca) !!;4.8
 Neutrogena  Sun Fresh Derm Care FPS 70 - Protetor Solar Facial 40g ; Neutrogena ;Amei textura, deixou pele oleosa cheirinho bom. Ficou pouco esbranquiçado passei, logo normalizou =) Amei! troco mais.;4.7
 Neutrogena  Sun Fresh Derm Care FPS 70 - Protetor Solar Facial 40g ; Neutrogena ;produto textura bem leve deixa sensação pegajoso!;4.7
 Neutrogena  Sun Fresh Derm Care FPS 70 - Protetor Solar Facial 40g ; Neutrogena ;Ótima absorção, toque seco, cumpre promete pele oleosa pele sequinha dia todo.;4.8
 Neutrogena  Sun Fresh Derm Care FPS 70 - Protetor Solar Facial 40g ; Neutrogena ;bom,deixa pele sequinha.;4.8
 Neutrogena  Sun Fresh Derm Care FPS 70 - Protetor Solar Facial 40g ; Neutrogena ;Melhor protetor ja usei duvidas;4.7
 Neutrogena  Sun Fresh Derm Care FPS 70 - Protetor Solar Facial 40g ; Neutrogena ;Ótima absorção, toque seco, cumpre promete pele oleosa pele sequinha dia todo.;4.7
