prod_descricao;prod_marca;prod_detalhe;prod_fps
Neutrogena Hydro Boost Kit – Hidratante Facial + Gel Creme para Olhos - Kit; Neutrogena;"O Kit Contém:  1 Hidratante Facial Neutrogena Hydro Boost Water Gel - 50g 1 Gel Creme Hidratante para a área dos Olhos Hydro Boost Neutrogena - 15g  - Neutrogena Hydro Boost Water Gel O hidratante facial Neutregena Hydra Boost Water Gel combina uma exclusiva textura ultraleve gel não oleosa, de rápida absorção e refrescante com uma hidratação intensa de 48.  Com ácido hialurônico, ele ajuda a restabelecer os níveis saudáveis de água na pele e estimula a sua renovação, fortalecendo assim sua barreira de proteção natural.   Tem um textura ultraleve, que é rapidamente absorvida pela pele e não deixa ela pegajosa. Não obstrui os poros, hipoalergênico e oil-free.   Principais benefícios:  - Equilibra a hidratação da pele - Não deixa a pele pegajosa - Previne contra ao envelhecimento precoce - Oil-free  Para quais tipos de pele:  Indicado para todos os tipos de pele, inclusive para pele mais oleosas.  Modo de Usar:  Lave o rosto. Aplique de maneira uniforme, fazendo movimentos suaves e circulares. Evite aplicar nas pálpebras, cantos externos do nariz e da boca. Pode ser aplicado antes da maquiagem, ao longo do dia e antes de dormir, de acordo com a necessidade da sua pele.  - Neutrogena Hydro Boost Water Olhos  O Gel Neutrogena Hydro Boost Water Olhos possui textura leve, não oleosa e de rápida absorção. Com ácido hialurônico e altas concentrações de glicerina, restabelece os níveis saudáveis de água da pele e revitaliza a área dos olhos.  O hidratante para os olhos Gel Neutrogena Hydro Boost Water Olhos tem textura leve, não oleosa e de rápida absorção.  A fórmula do hidratante para olhos da Neutrogena com Ácido Hialurônico e altas concentrações de Glicerina, restabelece os níveis saudáveis de água da pele e revitaliza a área dos olhos.  O Gel Neutrogena Hydro Boost Water Olhos promove uma renovação intensa. Pele mais bonita dia após dia. Revitaliza a área dos olhos e restabelece os níveis de água da pele.  Indicação:  Todos os tipos de pele, até as pele mais oleosas podem utilizar o produto, uma vez que ele apresenta uma textura super leve.  Benefícios:  - Restabelece os níveis saudáveis de água da pele e revitaliza a área dos olhos; - Textura leve; - Não oleosa; - Rápida absorção; - Sem fragrância; - Não comedogênico e hipoalergênico; - Oftalmologicamente testado. - Uso diário.  Modo de Usar:  Após lavar o rosto, aplique o hidratante na região externa dos olhos, de maneira uniforme, com suaves movimentos circulares. Não aplique nas pálpebras, cantos externos do nariz e da boca e pele irritada ou lesionada.";0
Neutrogena Hydro Boost Kit – Hidratante Facial + Gel para Olhos + Hidratante Corporal + Sérum + Água Micelar - Kit; Neutrogena;"O Kit Contém: 1 Hidratante Facial Neutrogena Hydro Boost Water Gel - 50g 1 Gel Creme Hidratante para a área dos Olhos Hydro Boost Neutrogena - 15g 1 Hidratante Corporal Neutrogena - Hydro Boost Cream - 400ml 1 Sérum Hidratante Neutrogena – Hydro Boost - 30ml 1 Água Micelar Neutrogena Hydro Boost - 400ml   Hidratante Facial Neutrogena Hydro Boost Water Gel O hidratante facial Neutrgena Hydra Boost Water Gel combina uma exclusiva textura ultraleve gel não oleosa, de rápida absorção e refrescante com uma hidratação intensa de 48. Com Ácido Hialurônico, ajuda a restabelecer seus níveis saudáveis de água da pele e estimula a sua renovação, fortalecendo sua barreira natural.  Benefícios:  - Equilibra a hidratação da pele - Não deixa a pele pegajosa - Previne contra ao envelhecimento precoce - Oil-free  Modo de Usar:  Lave o rosto. Aplique de maneira uniforme, fazendo movimentos suaves e circulares. Evite aplicar nas pálpebras, cantos externos do nariz e da boca. Pode ser aplicado antes da maquiagem, ao longo do dia e antes de dormir, de acordo com a necessidade da sua pele.   Gel Creme Hidratante para a área dos Olhos Hydro Boost Neutrogena O Gel Neutrogena Hydro Boost Water Olhos possui textura leve, não oleosa e de rápida absorção. Com ácido hialurônico e altas concentrações de glicerina, restabelece os níveis saudáveis de água da pele e revitaliza a área dos olhos.  Benefícios:  - Restabelece os níveis saudáveis de água da pele e revitaliza a área dos olhos; - Textura leve; - Não oleosa; - Rápida absorção; - Sem fragrância; - Não comedogênico e hipoalergênico; - Oftalmologicamente testado.  Modo de Usar:  Após lavar o rosto, aplique o hidratante na região externa dos olhos, de maneira uniforme, com suaves movimentos circulares. Não aplique nas pálpebras, cantos externos do nariz e da boca e pele irritada ou lesionada.   Hidratante Corporal Neutrogena - Hydro Boost Cream O Hydro Boost hidratante corporal promove hidratação avançada por 48h em uma textura gel ultra-leve para uso diário. Contém ácido hialurônico, que retém até 1000 vezes seu peso em água, além de deixar a pele mais firme em 10 dias.   Modo de Usar:  Aplique o Neutrogena Hydro Boost na pele e espalhe por todo corpo, massageando suavemente, até que todo produto tenha sido absorvido. Somente para uso externo. Não ingerir. Evite contato direto com os olhos. Caso isso aconteça enxaguar abundantemente. Se ocorrer irritação ou desconforto, descontinue o uso e consulte um médico.  Sérum Hidratante Neutrogena – Hydro Boost Nossa poderosa combinação de dois tamanhos de ácido hialurônico e glicerina, que penetra 9 camadas superficiais da pele, para uma hidratação duradoura e contínua.   Combate até 100% do ressecamento, hidrata e protege a barreira cutânea contra a perda de água, mantendo uma hidratação intensa durante todo o dia. Fórmula com toque ultra leve e de rápida absorção, não deixa a pele oleosa.  Modo de Uso: Aplicar de 4 a 5 gotas do produto nas mãos e espalhar suavemente sobre o rosto e pescoço previamente limpos. Para uma hidratação extra, utilizar também o Neutrogena Hydro Boost Water Gel após a aplicação.  Água Micelar Neutrogena Hydro Boost Água Micelar 7 em 1 NEUTROGENA Hydro Boost contém ácido hialurônico combinando limpeza e hidratação da pele por 24 horas.   Benefícios:  Com exclusiva tecnologia Tripla Micelar, possui 7 benefícios em 1 só produto: Limpa a pele efetivamente;  Remove a maquiagem; Promove hidratação da pele;  Revitaliza; Tonifica; Reequilibra e suaviza. Limpeza eficaz em um só passo. Sem álcool. Dermatologicamente testado. Oftalmologicamente testado.   Modo de uso: Umedeça um algodão com o produto e aplique sobre o rosto, área dos olhos, lábios e pescoço. Não é necessário enxaguar. Manter em local fresco, seco e ao abrigo da luz solar direta. Uso externo. Não ingerir. Não aplicar sobre a pele lesionada ou irritada. Em caso de irritação descontinuar o uso e procurar orientação médica. Conservar fora do alcance de crianças.";0
Neutrogena Hydro Boost Kit – Hidratante Facial Water Gel + Sérum Hidratante - Kit; Neutrogena;O Kit Contém:  1 Hidratante Facial Neutrogena Hydro Boost Water Gel - 50g 1 Sérum Hidratante Neutrogena – Hydro Boost - 30ml  - Neutrgena Hydra Boost Water Gel O hidratante facial Neutrgena Hydra Boost Water Gel combina uma exclusiva textura ultraleve gel não oleosa, de rápida absorção e refrescante com uma hidratação intensa de 48. Com Ácido Hialurônico, ajuda a restabelecer seus níveis saudáveis de água da pele e estimula a sua renovação, fortalecendo sua barreira natural.  Com ácido hialurônico, ele ajuda a restabelecer os níveis saudáveis de água na pele e estimula a sua renovação, fortalecendo assim sua barreira de proteção natural.   Tem um textura ultraleve, que é rapidamente absorvida pela pele e não deixa ela pegajosa. Não obstrui os poros, hipoalergênico e oil-free.   Principais benefícios:  - Equilibra a hidratação da pele - Não deixa a pele pegajosa - Previne contra ao envelhecimento precoce - Oil-free  Para quais tipos de pele:  Indicado para todos os tipos de pele, inclusive para pele mais oleosas.  Modo de Usar:  Lave o rosto. Aplique de maneira uniforme, fazendo movimentos suaves e circulares. Evite aplicar nas pálpebras, cantos externos do nariz e da boca. Pode ser aplicado antes da maquiagem, ao longo do dia e antes de dormir, de acordo com a necessidade da sua pele.  - Neutrogena – Hydro Boost Nossa poderosa combinação de dois tamanhos de ácido hialurônico e glicerina, que penetra 9 camadas superficiais da pele, para uma hidratação duradoura e contínua. Combate até 100% do ressecamento, hidrata e protege a barreira cutânea contra a perda de água, mantendo uma hidratação intensa durante todo o dia. Fórmula com toque ultra leve e de rápida absorção, não deixa a pele oleosa.  Indicações de Uso Hidratação da Pele  Precauções: Somente para uso externo. Não ingerir. Evite contato direto com os olhos. Em caso de contato acidental com os olhos, enxaguar abundantemente. Havendo irritação, suspenda o uso e procure por orientação médica. Manter fora do alcance de crianças. USO ADULTO. Conservar em local fresco e protegido da luz solar direta.  Modo de Uso: Modo de uso: Aplicar de 4 a 5 gotas do produto nas mãos e espalhar suavemente sobre o rosto e pescoço previamente limpos. Para uma hidratação extra, utilizar também o Neutrogena Hydro Boost Water Gel após a aplicação.  Características: DERMATOLOGICAMENTE TESTADO SÉRUM HIDRATANTE CONCENTRADO SEM PERFUME PELE FORTALECIDA E HIDRATADA O DIA TODO 17% COMPLEXO DE HIDRATAÇÃO COM ÁCIDO HIALURÔNICO  Sobre a Marca:  Neutrogena é uma empresa fundada em 1930 por Emanuel Stolarof, especializada em produtos dermatológicos para cuidados com a pele que, desde 1996, passou a ser comercializada no Brasil através da Johnson & Johnson Brasil. Seus dermocosméticos atendem a diversos públicos, tratando intensamente desde a hidratação da pele até os cuidados com o sol.;0
Neutrogena Hydro Boost Water Gel Kit com Hidratante Facial + Refil - Kit; Neutrogena;Brinde Sachê La Roche-Posay Effaclar Gel Concentrado 7g (Imagem ilustrativa) nas compras acima de R$279;0
Neutrogena Kit - Hidratante Facial + Protetor Solar Facial FPS70 - Kit; Neutrogena;"O kit Contém:  1 Hidratante Facial Neutrogena Hydro Boost Water Gel - 50g 1 Protetor Solar Neutrogena Sun Fresh Derm Care Facial FPS70 - 40g   Hidratante Facial Neutrogena Hydro Boost Water Gel  O que é e para que serve? Um Hidratante Facial com Ácido Hialurônico que restabelece os níveis de água da pele ao longo do dia, estimula sua renovação, fortalecendo a barreira de proteção natural contra o ressecamento. Com exclusiva textura ultraleve gel de rápida absorção, hidrata por 48 horas controlando e reduzindo a oleosidade.  Benefícios e diferenciais: -48h de hidratação: preenche instantaneamente a pele com 2 vezes mais hidratação. -Com ácido hialurônico: restabelece os níveis de água na pele e estimula sua renovação, fortalecendo a barreira natural da pele. -Textura ultra leve water gel: controle da oleosidade. -Dermatologicamente testado e não comedogênico: não obstrui poros. -Ideal para todos os tipos de pele, inclusive peles oleosas.  Como Usar: Com a pele limpa, aplique o produto sobre o rosto e pescoço e espalhe suavemente até a absorção completa. Pode ser usado diariamente, pela manhã e/ou à noite. Pode ser aplicado antes da maquiagem. Para uma rotina de hidratação completa, combine com o Sérum Hidratante NeutrogenaHydro Boost.  Composição: -Ácido Hialurônico: Protege a barreira cutânea contra a perda de água, mantendo uma hidratação intensa e prolongada.   Precauções: Somente para uso externo. Não ingerir. Evite contato direto com os olhos. Caso isso aconteça enxaguar abundantemente. Se ocorrer irritação ou desconforto, descontinue o uso e consulte um médico. Conservar fora do alcance das crianças, em local fresco e seco. USO ADULTO.   Protetor Solar Neutrogena Sun Fresh Derm Care Facial FPS70 Neutrogena Sun Fresh Derm Care Facial FPS 70 possui textura levinha e sequinha que não derrete. A exclusiva tecnologia Helioplex XP oferece muito alta proteção ampla e eficaz contra os raios UVB, UVA e ajuda a proteger contra a luz visível. Controla a oleosidade por 12 horas, disfarça poros, manchas solares e imperfeições da pele. Complexo antioxidante rejuvenescedor, clareia e previne manchas solares e efeito matte de longa duração.  Ativos:  Com sílica que atua na oleosidade da pele; Complexo antiodixante rejuvenescedor formado por:  • Niacinamida: ativo clareador de sinais causados pelo sol; • Feverfew: poderoso antioxidante; • Vitamina C: antioxidante;  Benefícios:  • Controla a oleosidade por 12h; • Disfarça poros; • Complexo antioxidante rejuvenescedor; • Clareia e previne manchas solares; • Efeito matte de longa duração; • Dermatologicamente testado; • Não comedogênico e não obstrui poros; • Textura leve, não pesa e não derrete.  Modo de usar:  Aplique abundantemente antes da exposição ao sol. Reaplicar sempre, após sudorese intensa, nadar ou banhar-se, secar-se com toalha e durante a exposição ao sol. *É necessária a reaplicação do produto a cada 2 horas para manter a efetividade da proteção solar. Uso diário. Conservar em local fresco e ao abrigo da luz solar direta.  Precauções:  Uso Externo. Evite contato com os olhos. Caso isso aconteça, enxágue-os com água em abundância. Descontinue o uso se surgirem irritações na pele. Se a quantidade aplicada não for adequada, o nível de proteção será significativamente reduzido. O produto ajuda a prevenir as queimaduras solares, mas não oferece nenhuma proteção contra insolação. Evite exposição prolongada das crianças ao sol. Para crianças menores de 6 (seis) meses, consultar um médico. Conserve fora do alcance das crianças. Em contato com tecido, pode causar manchas.  Sobre a Marca: Neutrogena é uma empresa fundada em 1930 por Emanuel Stolarof, especializada em produtos dermatológicos para cuidados com a pele que, desde 1996, passou a ser comercializada no Brasil através da Johnson & Johnson Brasil. Seus dermocosméticos atendem a diversos públicos, tratando intensamente desde a hidratação da pele até os cuidados com o sol.";70
Neutrogena Kit - Hidratante Facial Hydro Boost Water Gel + Bright Boost Gel Creme - Kit; Neutrogena;"O kit contém:  1 Hidratante Facial Neutrogena Hydro Boost Water Gel – 50g 1 Bright Boost Gel Creme Neutrogena – 50g  O Hidratante Facial Neutrgena Hydro Boost Water Gel combina uma exclusiva textura ultraleve gel não oleosa, de rápida absorção e refrescante com uma hidratação intensa de 48. Com Ácido Hialurônico, ajuda a restabelecer seus níveis saudáveis de água da pele e estimula a sua renovação, fortalecendo sua barreira natural.  Com ácido hialurônico, ele ajuda a restabelecer os níveis saudáveis de água na pele e estimula a sua renovação, fortalecendo assim sua barreira de proteção natural. Tem uma textura ultraleve, que é rapidamente absorvida pela pele e não deixa ela pegajosa. Não obstrui os poros, hipoalergênico e oil-free.   Principais benefícios:  • Equilibra a hidratação da pele; • Não deixa a pele pegajosa; • Previne contra ao envelhecimento precoce; • Oil-free.  Para quais tipos de pele:  Indicado para todos os tipos de pele, inclusive para pele mais oleosas.  Modo de Usar:  Lave o rosto. Aplique de maneira uniforme, fazendo movimentos suaves e circulares. Evite aplicar nas pálpebras, cantos externos do nariz e da boca. Pode ser aplicado antes da maquiagem, ao longo do dia e antes de dormir, de acordo com a necessidade da sua pele.  O Bright Boost Gel Creme Neutrogena acelera a renovação celular em até 10x, reduzindo visivelmente linhas finas e uniformiza tom e textura da pele. Resultados em 1 semana. Contém Neoglucosamina + trio de ácidos renovadores.  Indicações: Cuidado Facial, Anti-idade.  Modo de Usar: Aplicar com movimentos suaves sobre o rosto e pescoço previamente limpos, duas vezes ao dia.  Precauções: Somente para uso externo. Não ingerir. Evite contato direto com os olhos. Em caso de contato acidental com os olhos, enxaguar abundantemente. Havendo irritação, suspenda o uso e procure por orientação médica. Manter fora do alcance de crianças. Não aplicar nas pálpebras, nos cantos externos do nariz e da boca e na pele irritada ou lesionada.  Evitar exposição solar durante o uso do produto. Durante a primeira semana de uso, aplicar pequenas quantidades de produto, em dias alternados. Nas primeiras aplicações poderão ser observadas sensações transitórias de ardor, pinicação ou ressecamento da pele. Persistindo o incômodo, suspenda o uso do produto e procure orientação médica. USO ADULTO.";0
Neutrogena Kit - Sabonete Líquido Facial + Protetor Solar Facial - Kit; Neutrogena;"O Kit Contém:  1 Sabonete Líquido Facial Neutrogena - Purified Skin - 150g 1 Protetor Solar Neutrogena Sun Fresh Derm Care Facial FPS70 - 40g   Sabonete Líquido Facial Neutrogena - Purified Skin  O que é e para que serve?  Um Gel de Limpeza Facial com Ácido Glicólico, proporciona a renovação celular da pele desde o primeiro uso. Com fórmula suave que respeita o pH da pele, proporciona uma sensação de suavidade e frescor.   Benefícios e diferenciais:  -Limpeza purificante e profunda: elimina as impurezas e toxinas -Reduz a oleosidade da pele com uso contínuo -Desobstrução profunda dos poros -Respeita o pH da pele: não agride a pele, limpa sem deixar a sensação de ressecamento -Com ácido glicólico: limpeza profunda e renovação celular  -Dermatologicamente testado  Como usar:  Aplique o produto sobre o rosto úmido e massageie até formar uma espuma cremosa. Enxágue com água em abundância. Para uso diário.  Composição:  -Ácido Glicólico: promove a renovação celular com o uso contínuo.  Precauções:  Não aplicar nas pálpebras e ao redor dos olhos. Enxaguar imediatamente a pele após a aplicação. Não insistir no uso contínuo, caso ocorra algum efeito indesejável. Durante a primeira semana de uso, aplicar pequenas quantidades de produto, em dias alternados. Uma leve sensação de ardor, pinicação ou ressecamento da pele poderá ser observada nas primeiras aplicações. Manter fora do alcance de crianças. Não ingerir. Em caso de contato acidental com os olhos, enxaguar abundantemente. Havendo irritações, suspenda o uso e procure por orientação médica.    Protetor Solar Neutrogena Sun Fresh Derm Care Facial FPS70 Neutrogena Sun Fresh Derm Care Facial FPS 70 possui textura levinha e sequinha que não derrete. A exclusiva tecnologia Helioplex XP oferece muito alta proteção ampla e eficaz contra os raios UVB, UVA e ajuda a proteger contra a luz visível. Controla a oleosidade por 12 horas, disfarça poros, manchas solares e imperfeições da pele. Complexo antioxidante rejuvenescedor, clareia e previne manchas solares e efeito matte de longa duração.  Ativos:  Com sílica que atua na oleosidade da pele; Complexo antiodixante rejuvenescedor formado por:  • Niacinamida: ativo clareador de sinais causados pelo sol; • Feverfew: poderoso antioxidante; • Vitamina C: antioxidante;  Benefícios:  • Controla a oleosidade por 12h; • Disfarça poros; • Complexo antioxidante rejuvenescedor; • Clareia e previne manchas solares; • Efeito matte de longa duração; • Dermatologicamente testado; • Não comedogênico e não obstrui poros; • Textura leve, não pesa e não derrete.  Modo de usar:  Aplique abundantemente antes da exposição ao sol. Reaplicar sempre, após sudorese intensa, nadar ou banhar-se, secar-se com toalha e durante a exposição ao sol. *É necessária a reaplicação do produto a cada 2 horas para manter a efetividade da proteção solar. Uso diário. Conservar em local fresco e ao abrigo da luz solar direta.  Precauções:  Uso Externo. Evite contato com os olhos. Caso isso aconteça, enxágue-os com água em abundância. Descontinue o uso se surgirem irritações na pele. Se a quantidade aplicada não for adequada, o nível de proteção será significativamente reduzido. O produto ajuda a prevenir? as queimaduras solares, mas não oferece nenhuma proteção contra insolação. Evite exposição prolongada das crianças ao sol. Para crianças menores de 6 (seis) meses, consultar um médico. Conserve fora do alcance das crianças. Em contato com tecido, pode causar manchas.";0
Neutrogena Kit – Sérum Hidratante + Gel Creme + Hidratante Corporal Para Todos os Tipos de Pele - Kit; Neutrogena;"O kit contém: 1 Sérum Hidratante Neutrogena – Hydro Boost - 30ml 1 Gel Creme Hidratante para a área dos Olhos Hydro Boost Neutrogena - 15g 1 Hidratante Corporal Neutrogena - Hydro Boost Cream - 400ml  O que é e para que serve? O Kit Neutrogena Hydro Boost é a combinação perfeita para quem busca uma pele hidratada, revitalizada e protegida ao longo do dia.  Sérum Hidratante: Com Ácido Hialurônico, Pró-Vitamina B5 e Glicerina, este sérum proporciona hidratação profunda enquanto fortalece a barreira cutânea contra perda de água.  Gel Creme para Área dos Olhos:  Formulado com altas concentrações de Ácido Hialurônico e Glicerina, ele restabelece os níveis saudáveis de água na delicada área ao redor dos olhos, revitalizando-a.  Hidratante Corporal:  Oferece 48 horas de hidratação contínua graças à sua fórmula ultra-leve que combina ácido hialurônico com rápida absorção.  Quais os Benefícios do Kit? Combate até 100% do ressecamento; Penetração Profunda; Melhora Visível em Quatro Semanas; Fórmula Leve;  Não deixa resíduos oleosos na pele; Não-comedogênico, sem fragrância ou parabenos; Para Todos os Tipos De Pele, inclusive para peles sensíveis.  Modo de Uso: Para maximizar os efeitos deste incrível kit siga essas recomendações: 1. Sérum Hidratante: - Aplique 4 ou 5 gotas nas mãos; - Espalhe suavemente no rosto e pescoço limpos;  2. Gel Creme Área dos Olhos: - Com a pele limpa aplique pequenas quantidades no contorno dos olhos; - Use movimentos suaves até total absorção;  3. Hidratante Corporal: - Aplique generosamente sobre todo o corpo; - Massageie suavemente até completa absorção;  Como usar corretamente cada produto do kit?  Sérum: Melhor aplicado pela manhã antes outros cosméticos; algumas gotas bastam! Gel creme olhos: Manhã/noite ambos os horários funcionam bem, mas lembre-se sempre limpeza prévia! Corporal: Idealmente logo após banho quando os poros estão abertos facilitando ainda melhor penetração!";0
Neutrogena Protetor Solar Facial Sun Fresh Derm Care FPS70 40g Kit - 2 unidades - Kit; Neutrogena;"O Kit Contém: 2 unidades - Protetor Solar Facial Sun Fresh Derm Care FPS70 40g  Neutrogena Sun Fresh Derm Care Facial FPS 70 possui textura levinha e sequinha que não derrete. A exclusiva tecnologia Helioplex XP oferece muito alta proteção ampla e eficaz contra os raios UVB, UVA e ajuda a proteger contra a luz visível. Controla a oleosidade por 12 horas, disfarça poros, manchas solares e imperfeições da pele. Complexo antioxidante rejuvenescedor, clareia e previne manchas solares e efeito matte de longa duração.  Ativos:  Com sílica que atua na oleosidade da pele; Complexo antiodixante rejuvenescedor formado por:  • Niacinamida: ativo clareador de sinais causados pelo sol; • Feverfew: poderoso antioxidante; • Vitamina C: antioxidante;  Benefícios:  • Controla a oleosidade por 12h; • Disfarça poros; • Complexo antioxidante rejuvenescedor; • Clareia e previne manchas solares; • Efeito matte de longa duração; • Dermatologicamente testado; • Não comedogênico e não obstrui poros; • Textura leve, não pesa e não derrete.  Modo de usar:  Aplique abundantemente antes da exposição ao sol. Reaplicar sempre, após sudorese intensa, nadar ou banhar-se, secar-se com toalha e durante a exposição ao sol. *É necessária a reaplicação do produto a cada 2 horas para manter a efetividade da proteção solar. Uso diário. Conservar em local fresco e ao abrigo da luz solar direta.  Precauções:  Uso Externo. Evite contato com os olhos. Caso isso aconteça, enxágue-os com água em abundância. Descontinue o uso se surgirem irritações na pele. Se a quantidade aplicada não for adequada, o nível de proteção será significativamente reduzido. O produto ajuda a prevenir? as queimaduras solares, mas não oferece nenhuma proteção contra insolação. Evite exposição prolongada das crianças ao sol. Para crianças menores de 6 (seis) meses, consultar um médico. Conserve fora do alcance das crianças. Em contato com tecido, pode causar manchas.";70
Protetor Solar Eucerin Sun Oil Control Tinted FPS 70 – 50g - Medio; Eucerin;"Eucerin Sun Oil Control Tinted FPS 70 é testado e desenvolvido para oferecer proteção solar inovadora com ADVANCED SPECTRAL TECHNOLOGY, sistema de filtros UVA/UVB fotoestáveis; proteção biológica das células - O antioxidante Licochalcona protege as camadas mais profundas da epiderme e combate os radicais livres causados pela exposição à luz visível; enquanto o Ácido Glicirretínico que ajuda na renovação dos mecanismos de defesa naturais do DNA celular.   Fórmula com pigmentos para uma dupla ação: Alta cobertura natural e imediata das imperfeições e impurezas da pele. Promove a defesa adicional contra a luz visível. Promove 12h no controle do brilho e oleosidade, alta cobertura e não transfere a cor. Proteção solar diária para pele mista, oleosa e acneica. Controle prolongado da oleosidade com efeito matificante de longa duração. Alta cobertura e não transfere a cor.  Modo de Uso:Aplique abundantemente 30 minutos antes da exposição ao sol e sempre que necessário. Reaplicar sempre, após sudorese intensa, nadar ou banhar-se, secar-se com toalha e durante a exposição ao sol. É necessária a reaplicação do produto para manter a sua efetividade. Evitar exposição ao sol das 10 às 16 horas. Evite exposição prolongada das crianças ao sol. Para crianças menores de 6 (seis) meses, consultar um médico. Ajuda a prevenir as queimaduras solares. Se a quantidade aplicada não for adequada, o nível de proteção será significativamente reduzido. Oferece muito alta proteção contra queimaduras solares e é indicado para pele extremamente sensível a queimadura solar. Filtros solares em contato com o tecido podem causar manchas.";70
Protetor Solar Facial Antiacne Mantecorp Skincare Episol FPS30 - 60ml; Mantecorp Skincare;EPISOL ANTIACNE FPS30 é um protetor solar cuja formulação foi desenvolvida para peles oleosas e acneicas.  Possui formulação que auxilia no combate da acne com ativos como Niacinamida e Ácido Salicílico Nanoencapsulado. Além disso, possui ação antioxidante com vitamina E.   Benefícios:  Oferece alta proteção contra raios UVA e UVB.  Controle da oleosidade por 12h.  Previne e reduz acne.  Diminui o brilho e os poros aparentes.   Possui também ação hidratante e calmante que ajuda a reduzir a vermelhidão causada pela acne e ação antioxidante que preserva o colágeno através de uma tecnologia inovadora que minimiza danos mais profundos na pele causados pelos raios infravermelhos.  Sua textura fácil de espalhar e de rápida absorção promove toque seco e efeito matte e não deixa resíduos brancos.   É um produto não comedogênico (não provoca cravos), dermatologicamente e oftalmologicamente testado, desenvolvido para pele muito sensível à queimadura solar.  O uso regular auxilia na prevenção do câncer de pele e de outros efeitos danosos causados pelo sol, como envelhecimento precoce.   MODO DE USAR:  O produto deve ser aplicado em abundância e uniformemente sobre a pele seca antes da exposição ao sol. Se a quantidade aplicada não for adequada, o nível de proteção será significativamente reduzido.  É necessária reaplicação dos produtos para manter sua efetividade. Reaplicar sempre, após sudorese intensa, nadar ou banhar-se, secar-se com a toalha e durante exposição ao sol. Uso diário. Uso adulto e externo. Não usar em crianças;30
Protetor Solar Facial Bioderma Photoderm Cover Touch FPS 50+ - Claro; Bioderma;Photoderm Cover Touch FPS 50+ é a 1ª² proteção mineral com cobertura total¹ especialmente formulada para peles oleosas. Sua textura revolucionária oferece proteção e cobertura de longa duração em uma fórmula leve e minimalista que deixa a pele respirar, mantendo-a uniforme, confortável e livre de oleosidade o dia todo³.  Com filtros e pigmentos 100% físicos e minerais, Photoderm Cover Touch FPS 50+oferece muito alta proteção contra a radiação UVB, UVA e luz visível. Dia após dia, Photoderm Cover Touch FPS 50+ reduz a oleosidade³ através da patente Fluidactiv™, prevenindo o surgimento de novos cravos e espinhas.  Textura revolucionária: Tecnologia com pigmentos que se dispersam perfeitamente para uma cobertura total que não obstrui os poros, não craquela e não acumula em linhas de expressão. Alta fixação mesmo em condições extremas: fórmula muito resistente à água, suor e calor. Não transfere4 e não derrete ao longo do dia, com 08h de efeito base com controle do brilho e da oleosidade³.   Sobre a marca: Na BIODERMA a pele é nossa paixão, nossa expertise, nosso modelo. É observando a biologia da pele e analisando o que ela faz de melhor que nós encontramos a inspiração para criar cuidados dermatológicos que restauram e fortalecem o equilíbrio natural da pele, preservando sua saúde e a beleza de forma duradoura.;50
Protetor Solar Facial Bioderma Photoderm Cover Touch FPS 50+ - Claro; Bioderma;SEM DETALHE;50
Protetor Solar Facial Bioderma Photoderm Cover Touch FPS 50+ - Escuro; Bioderma;Photoderm Cover Touch FPS 50+ é a 1ª² proteção mineral com cobertura total¹ especialmente formulada para peles oleosas. Sua textura revolucionária oferece proteção e cobertura de longa duração em uma fórmula leve e minimalista que deixa a pele respirar, mantendo-a uniforme, confortável e livre de oleosidade o dia todo³.  Com filtros e pigmentos 100% físicos e minerais, Photoderm Cover Touch FPS 50+oferece muito alta proteção contra a radiação UVB, UVA e luz visível. Dia após dia, Photoderm Cover Touch FPS 50+ reduz a oleosidade³ através da patente Fluidactiv™, prevenindo o surgimento de novos cravos e espinhas.  Textura revolucionária: Tecnologia com pigmentos que se dispersam perfeitamente para uma cobertura total que não obstrui os poros, não craquela e não acumula em linhas de expressão. Alta fixação mesmo em condições extremas: fórmula muito resistente à água, suor e calor. Não transfere4 e não derrete ao longo do dia, com 08h de efeito base com controle do brilho e da oleosidade³.   Sobre a marca: Na BIODERMA a pele é nossa paixão, nossa expertise, nosso modelo. É observando a biologia da pele e analisando o que ela faz de melhor que nós encontramos a inspiração para criar cuidados dermatológicos que restauram e fortalecem o equilíbrio natural da pele, preservando sua saúde e a beleza de forma duradoura.;50
